YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,REGION,STATEFIP,STRATA,GQ,PERNUM,PERWT,FAMUNIT,MOMLOC,POPLOC,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,BPL,BPLD,MBPL,MBPLD,FBPL,FBPLD,SCHOOL,SCHLMNTH,LIT,OCC,OCCSCORE,StateName,BirthplaceName,OccupationTitle
1900,190002,358401,100.0,1900003584011,32,1,4320112900,1,2,100.0,1,0,0,2,201,2,22,1,2,200,1,100,1,100,1,100,1,99.0,1,999,0,Alabama,Alabama,Not in labor force / missing
1900,190002,5779201,100.0,1900057792011,21,26,70312602100,1,3,100.0,1,2,1,3,301,2,14,6,2,200,18,1800,150,15000,51,5100,2,7.0,4,304,0,,,No occupation reported / retired
1900,190002,4842402,100.0,1900048424021,33,22,58312210503,1,3,100.0,1,0,1,3,303,2,11,6,2,200,22,2200,22,2200,22,2200,2,3.0,2,999,0,Louisiana,Louisiana,Not in labor force / missing
1900,190002,13901201,100.0,1900139012011,31,51,170725105901,1,8,100.0,1,2,1,3,301,2,6,6,2,200,51,5100,51,5100,51,5100,1,99.0,0,999,0,Virginia,Virginia,Not in labor force / missing
1900,190002,1357601,100.0,1900013576011,31,11,16411100101,1,5,100.0,1,2,1,3,301,1,12,6,2,200,11,1100,51,5100,51,5100,2,9.0,4,304,0,,District of Columbia,No occupation reported / retired
1900,190002,1872801,100.0,1900018728011,31,13,22421327502,1,3,100.0,1,2,1,3,301,2,70,5,2,200,13,1300,13,1300,13,1300,1,99.0,1,999,0,Illinois,Illinois,Not in labor force / missing
1900,190002,571501,100.0,1900005715011,33,5,7110510701,1,2,100.0,1,0,0,2,201,2,44,1,2,200,5,500,1,100,1,100,1,99.0,1,999,0,Arkansas,Arkansas,Not in labor force / missing
1900,190002,9820201,101.0,1900098202011,31,37,121123714500,1,2,101.0,1,0,0,2,201,2,24,1,2,200,37,3700,37,3700,37,3700,1,99.0,1,999,0,North Carolina,North Carolina,Not in labor force / missing
1900,190002,1401101,100.0,1900014011011,31,12,16921203901,1,1,100.0,1,0,0,1,101,1,21,1,2,200,13,1300,13,1300,13,1300,1,99.0,1,1,9,Georgia,Illinois,Farm laborers
1900,190002,229201,101.0,1900002292011,32,1,2820108901,1,7,101.0,1,0,0,9,901,2,7,6,2,200,1,100,1,100,1,100,1,99.0,0,999,0,Alabama,Alabama,Not in labor force / missing
1900,190002,4714101,101.0,1900047141011,33,22,56912206702,1,2,101.0,1,0,0,2,201,2,25,1,2,200,22,2200,22,2200,22,2200,1,99.0,1,1,9,Louisiana,Louisiana,Farm laborers
1900,190002,1518601,100.0,1900015186011,31,13,18221303300,1,1,100.0,1,0,0,1,101,2,65,5,2,200,13,1300,51,5100,51,5100,1,99.0,1,40,4,Illinois,Illinois,Cook
1900,190002,6880001,100.0,1900068800011,32,28,83212815100,1,6,100.0,1,2,1,3,301,1,9,6,2,200,28,2800,48,4800,5,500,2,7.0,0,999,0,Mississippi,Mississippi,Not in labor force / missing
1900,190002,1732501,100.0,1900017325011,31,13,20811317501,1,5,100.0,1,2,1,3,301,2,5,6,2,200,13,1300,13,1300,13,1300,1,99.0,0,999,0,Illinois,Illinois,Not in labor force / missing
1900,190002,440001,100.0,1900004400011,33,5,5510502901,1,3,100.0,1,2,1,3,301,2,25,6,2,200,47,4700,47,4700,47,4700,1,99.0,4,1,9,Arkansas,Tennessee,Farm laborers
1900,190002,1568101,100.0,1900015681011,31,13,18821306700,1,5,100.0,1,0,0,10,1011,2,80,5,2,200,13,1300,45,4500,45,4500,1,99.0,1,999,0,Illinois,Illinois,Not in labor force / missing
